IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.222.64,2096,2096,true,SIN,Asia Pacific,Singapore,82,2.38
8.210.207.214,2096,2096,true,HKG,Asia Pacific,Hong Kong,56,2.38
47.238.40.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,102,2.38
8.218.142.253,2053,2053,true,HKG,Asia Pacific,Hong Kong,61,2.38
8.218.8.142,2087,2087,true,HKG,Asia Pacific,Hong Kong,67,2.37
8.218.48.92,8443,8443,true,HKG,Asia Pacific,Hong Kong,72,2.36
47.236.80.110,8443,8443,true,SIN,Asia Pacific,Singapore,71,2.33
47.242.54.157,2083,2083,true,HKG,Asia Pacific,Hong Kong,44,2.33
47.236.10.182,2083,2083,true,SIN,Asia Pacific,Singapore,80,2.32
8.210.203.7,8443,8443,true,HKG,Asia Pacific,Hong Kong,67,2.32
47.242.54.157,8443,8443,true,HKG,Asia Pacific,Hong Kong,69,2.31
47.243.139.243,2053,2053,true,HKG,Asia Pacific,Hong Kong,90,2.30
47.236.80.110,2087,2087,true,SIN,Asia Pacific,Singapore,62,2.30
8.217.250.222,2053,2053,true,HKG,Asia Pacific,Hong Kong,51,2.26
47.237.95.140,2096,2096,true,SIN,Asia Pacific,Singapore,73,2.26
47.236.75.113,2096,2096,true,SIN,Asia Pacific,Singapore,78,2.26
47.242.54.157,2083,2083,true,HKG,Asia Pacific,Hong Kong,78,2.25
47.236.144.208,8443,8443,true,SIN,Asia Pacific,Singapore,132,2.24
47.242.17.250,2083,2083,true,HKG,Asia Pacific,Hong Kong,44,2.24
47.236.75.113,2087,2087,true,SIN,Asia Pacific,Singapore,67,2.23
8.222.136.247,8443,8443,true,SIN,Asia Pacific,Singapore,64,2.23
47.243.139.243,8443,8443,true,HKG,Asia Pacific,Hong Kong,55,2.22
8.210.245.224,2053,2053,true,HKG,Asia Pacific,Hong Kong,42,2.22
8.219.66.156,2096,2096,true,NRT,Asia Pacific,Tokyo,160,2.21
47.245.126.151,2053,2053,true,SIN,Asia Pacific,Singapore,23,2.20
47.243.203.119,2053,2053,true,HKG,Asia Pacific,Hong Kong,66,2.19
47.243.5.154,8443,8443,true,HKG,Asia Pacific,Hong Kong,57,2.18
47.76.80.72,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,2.18
8.210.100.23,2083,2083,true,HKG,Asia Pacific,Hong Kong,63,2.17
47.76.33.40,2053,2053,true,HKG,Asia Pacific,Hong Kong,37,2.17
47.242.174.27,2087,2087,true,HKG,Asia Pacific,Hong Kong,90,2.16
8.218.136.25,2096,2096,true,HKG,Asia Pacific,Hong Kong,51,2.16
8.210.174.156,8443,8443,true,HKG,Asia Pacific,Hong Kong,129,2.12
8.222.165.117,2053,2053,true,SIN,Asia Pacific,Singapore,106,2.10
8.219.153.237,8443,8443,true,NRT,Asia Pacific,Tokyo,204,2.10
47.76.33.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,63,2.09
47.236.83.239,2083,2083,true,SIN,Asia Pacific,Singapore,46,2.07
8.218.8.142,2053,2053,true,HKG,Asia Pacific,Hong Kong,75,2.07
47.236.5.223,2053,2053,true,SIN,Asia Pacific,Singapore,115,2.07
8.210.66.190,8443,8443,true,HKG,Asia Pacific,Hong Kong,81,2.06
47.236.130.95,2053,2053,true,SIN,Asia Pacific,Singapore,66,2.06
47.242.59.216,8443,8443,true,HKG,Asia Pacific,Hong Kong,59,2.03
8.218.85.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,72,2.03
8.222.181.117,2096,2096,true,SIN,Asia Pacific,Singapore,43,2.00
8.219.86.200,2083,2083,true,SIN,Asia Pacific,Singapore,97,2.00
47.236.87.246,2096,2096,true,SIN,Asia Pacific,Singapore,56,2.00
47.236.180.51,2083,2083,true,SIN,Asia Pacific,Singapore,143,2.00
47.76.33.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,47,1.99
8.210.192.93,2087,2087,true,HKG,Asia Pacific,Hong Kong,138,1.98
8.210.207.214,2083,2083,true,HKG,Asia Pacific,Hong Kong,108,1.97
8.222.222.64,2087,2087,true,SIN,Asia Pacific,Singapore,51,1.97
47.243.173.187,443,443,true,HKG,Asia Pacific,Hong Kong,59,1.96
47.236.254.120,2087,2087,true,SIN,Asia Pacific,Singapore,28,1.96
47.245.105.224,2087,2087,true,SIN,Asia Pacific,Singapore,34,1.94
47.243.5.154,2083,2083,true,HKG,Asia Pacific,Hong Kong,64,1.94
8.217.49.34,443,443,true,HKG,Asia Pacific,Hong Kong,36,1.94
47.245.86.230,443,443,true,SIN,Asia Pacific,Singapore,71,1.93
8.217.250.5,2083,2083,true,HKG,Asia Pacific,Hong Kong,88,1.93
8.222.193.65,443,443,true,SIN,Asia Pacific,Singapore,68,1.93
8.217.49.34,8443,8443,true,HKG,Asia Pacific,Hong Kong,81,1.92
47.243.60.150,2087,2087,true,HKG,Asia Pacific,Hong Kong,88,1.92
8.218.3.12,2096,2096,true,HKG,Asia Pacific,Hong Kong,66,1.91
8.219.153.237,2053,2053,true,NRT,Asia Pacific,Tokyo,184,1.90
47.242.176.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,45,1.90
47.243.183.127,8443,8443,true,HKG,Asia Pacific,Hong Kong,127,1.90
8.218.22.210,2083,2083,true,HKG,Asia Pacific,Hong Kong,58,1.90
8.217.49.34,2096,2096,true,HKG,Asia Pacific,Hong Kong,59,1.88
8.218.143.10,2053,2053,true,HKG,Asia Pacific,Hong Kong,41,1.88
47.237.14.220,2096,2096,true,SIN,Asia Pacific,Singapore,89,1.87
8.210.192.93,2096,2096,true,HKG,Asia Pacific,Hong Kong,105,1.86
8.219.153.237,2096,2096,true,NRT,Asia Pacific,Tokyo,208,1.85
47.243.27.217,2053,2053,true,HKG,Asia Pacific,Hong Kong,124,1.84
8.217.251.62,2096,2096,true,HKG,Asia Pacific,Hong Kong,97,1.83
47.243.139.243,2096,2096,true,HKG,Asia Pacific,Hong Kong,56,1.82
8.218.65.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,88,1.79
8.210.21.65,2053,2053,true,HKG,Asia Pacific,Hong Kong,55,1.79
8.218.122.55,2096,2096,true,HKG,Asia Pacific,Hong Kong,55,1.76
47.236.254.120,8443,8443,true,SIN,Asia Pacific,Singapore,69,1.75
8.210.207.214,2087,2087,true,HKG,Asia Pacific,Hong Kong,45,1.75
